feature,OR_uni,CI_low_uni,CI_high_uni,p_uni,OR_adj,CI_low_adj,CI_high_adj,p_adj,p_bonferroni,p_bh_fdr,OR_shift_pct
Age,0.9828,0.8498,1.1367,0.8155,1.0085,0.7868,1.2927,0.9467,1.0,0.9996,149.5339
BMI,8.1566,6.2253,10.6871,0.0,45.7458,25.9293,80.7072,0.0,0.0,0.0,-525.2381
Blood_Pressure_Systolic,0.9626,0.8323,1.1132,0.6072,0.9181,0.7213,1.1685,0.4873,1.0,0.9327,-118.9487
Blood_Pressure_Diastolic,1.0103,0.8736,1.1684,0.8897,1.0967,0.8573,1.4031,0.4625,1.0,0.9327,-835.8298
Cholesterol,1.1076,0.9573,1.2815,0.1696,1.0442,0.8257,1.3205,0.7181,1.0,0.9996,58.9333
Glucose_Level,3.9043,3.1655,4.8154,0.0,20.2642,12.4065,33.0983,0.0,0.0,0.0,-563.305
Gender,1.0465,0.7823,1.3999,0.7595,1.0256,0.6345,1.6579,0.9177,1.0,0.9996,44.8718
Smoking,1.015,0.7589,1.3576,0.9201,0.8501,0.5251,1.3762,0.5088,1.0,0.9327,1100.2859
Alcohol_Intake,1.1159,0.834,1.4931,0.4603,0.8804,0.5413,1.4322,0.608,1.0,0.9996,203.1387
Physical_Activity,1.0506,0.7855,1.4053,0.7392,0.9971,0.6152,1.6163,0.9907,1.0,0.9996,105.6595
Family_History,0.8783,0.6564,1.1751,0.3822,1.0472,0.6429,1.7057,0.8531,1.0,0.9996,138.7459
