feature,OR_uni,CI_low_uni,CI_high_uni,p_uni,OR_adj,CI_low_adj,CI_high_adj,p_adj,p_bonferroni,p_bh_fdr,OR_shift_pct
Age,3.5057,2.7277,4.5054,0.0,13.9052,8.4181,22.9691,0.0,0.0,0.0,-415.0447
BMI,1.0617,0.8883,1.2689,0.5105,0.8187,0.6156,1.0889,0.1692,1.0,0.5077,393.7824
Blood_Pressure_Systolic,3.6674,2.8217,4.7667,0.0,16.8221,9.6389,29.3583,0.0,0.0,0.0,-493.1584
Blood_Pressure_Diastolic,1.1292,0.9447,1.3497,0.1819,1.1167,0.8327,1.4976,0.4611,1.0,0.9327,9.6574
Cholesterol,5.1353,3.804,6.9324,0.0,24.572,13.3233,45.3177,0.0,0.0,0.0,-470.0238
Glucose_Level,0.9085,0.7597,1.0864,0.293,0.9569,0.716,1.2788,0.7659,1.0,0.9996,52.8931
Gender,0.9705,0.6797,1.3857,0.869,0.9253,0.5201,1.6464,0.7918,1.0,0.9996,-152.9044
Smoking,0.9915,0.6944,1.4158,0.9627,0.8991,0.5016,1.6115,0.7209,1.0,0.9996,-1091.4951
Alcohol_Intake,0.8109,0.5672,1.1595,0.2506,0.7065,0.396,1.2604,0.2394,1.0,0.6585,-55.2322
Physical_Activity,1.0589,0.7416,1.512,0.7528,1.1215,0.6308,1.9939,0.6961,1.0,0.9996,-106.2945
Family_History,0.9919,0.6946,1.4163,0.9641,0.8212,0.4603,1.4652,0.5049,1.0,0.9327,-2095.7141
